Short Description,Category,Solution code
adding spark packages in CDSW,Capacity,Housekeeping
UAT  spark submit not going to the designated queue,Configuration,Amend Configuration
We are facing following issue due to which spark job getting fail,Data-Transaction,Workaround
Spark error on UAT Cluster connectivity via DoD,Configuration,Workaround
Change /user/spark retention period from 30 to 15 days in all UAT clusters.,Configuration,Amend Configuration
Unable to start a spark session,Dependent System,No Action Taken
Spark jobs are failing as namespace quote is full,Capacity,Housekeeping
Facing Spark connectivity issue,Capacity,Housekeeping
Error Submitting Spark Job,Capacity,Workaround
Job got stuck at spark command,Capacity,Housekeeping
Unable to kill prod job,Configuration,Service/Process Restart
"getting ""OutOfMemoryError: Java heap space"" error in  job run",Configuration,Amend Configuration
Not able to open spark-shell terminal,Configuration,Workaround
Unable to run spark job ,No Fault Found,Workaround
spark submit fails ,Miscategorised,Training/Advise
Cannot create spark session,Configuration,Amend Configuration
Killed Spark jobs are visible in Spark history server and holding on to resources causing further delay for other jobs,Capacity,Workaround
Job aborted abruptly,Capacity,Housekeeping
Unable to execute multiple table joined queries in Spark shell,Configuration,Amend Configuration
Need Help for Oozie and spark testing ,Configuration,Workaround
Spark connected jobs are failing,Capacity,Workaround
Spark client always fails,Configuration,Amend Configuration
Spark client always fails,Configuration,Workaround
pyspark >>> Permission denied,Access,User Configuration
All jobs stuck in Spark Command,User Access,Permissions Updated
Getting error while running spark2 cmd mention below.,Capacity,Workaround
[Spark][PROD]Not possible to share same queue with more than one Spark session,Configuration,Workaround
SparkUI: Failed to bind SparkUI,Capacity,Housekeeping
Error while executing pySpark jobs,No Fault Found,No Action Taken
copying jars to hdfs for spark shell fast loading from windows,Configuration,Workaround
"Exception: Python in worker has different version 3.6 than that in driver 3.7, PySpark cannot run",Configuration,Workaround
CDP | Production jobs failing with Hive Client errors,No Fault Found,Training/Advise
Not able to access database HIVE in  prod,Dependent System,Workaround
"Able to access Hadoop Tables through Hive, but not through impala",Cancelled,No Action Taken
Hive Slowness,Capacity,Additional Capacity
"Please change the owner of the below  diretory and file to ""john"" from ""hive""",User Access,Permissions Updated
Created Hive ODBC is unable to load data,Dependent System,Workaround
"Able to access Hadoop Tables through Hive, but not through impala",Capacity,Workaround
HIVE : Getting No Databases found error,No Fault Found,Training/Advise
Hive query issue in PROD,No Fault Found,Training/Advise
issue with hive property modification,Configuration,Workaround
Unable to create hive table in UAT env,No Fault Found,No Action Taken
Unable to access  hive from jupiter,Dependent System,Workaround
Deleting data form external Hive tables,Data,Data Deleted
Can't connect to HIVE UAT,Miscategorised,No Action Taken
Job stuck with HS2,No Fault Found,Training/Advise
Hive issue,Configuration,Amend Configuration
Facing Project Space Memory Issue- can't run query in HUE (hive/Impala),Capacity,Additional Capacity
Issue in Hive,Capacity,Housekeeping
Hive/Implala issue ,Capacity,Workaround
Facing Project Space Memory Issue- can't run query in HUE (hive/Impala),No Fault Found,No Action Taken
"HIVE not working, Always showing repload option",Dependent System,Workaround
Hive issue ,Miscategorised,Training/Advise
Few Issues and questions on Impala and Hive,Miscategorised,Training/Advise
Could you please check which user is locked this table in hive.,User Access,Permissions Updated
Hive and Oozie is  down.,Known Error,No Action Taken
unable to connect to hive service down,Access,Access Permissions Modified
